//ARGV is (#(ARGV.count)) ["eaton_firstRun.adjtime.txt"]
fileInPath = eaton_firstRun.adjtime.txt
// Reading input file...
    1 #         1         2         3
    2 #12345678901234567890123456789012
  168 009920 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  169 009984 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  170 0099D5 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  171 009A2B 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  172 009A84 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  173 009ADD 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  174 009B38 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  175 009B8F 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  176 009BE7 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  177 009C42 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  178 009C48 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
  179 009C9C 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  180 009D01 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  181 009D4B 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  182 009DA4 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  183 009DFF 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  184 009E55 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  185 009EAE 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  186 009F07 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  187 009F63 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  188 009FB9 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  189 009FBF 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
  190 00A012 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  191 00A076 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
